timestamp,message
1770946947000,2026-02-13T01:42:27 [SOURCE_UNLOAD   ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946947000,2026-02-13T01:42:27 [SOURCE_CAPTURE  ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946947000,2026-02-13T01:42:27 [TARGET_LOAD     ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946947000,2026-02-13T01:42:27 [TARGET_LOAD     ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946948000,2026-02-13T01:42:28 [SOURCE_UNLOAD   ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946950000,2026-02-13T01:42:30 [SOURCE_UNLOAD   ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946950000,2026-02-13T01:42:30 [SOURCE_UNLOAD   ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946950000,2026-02-13T01:42:30 [TARGET_LOAD     ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946950000,2026-02-13T01:42:30 [TARGET_LOAD     ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946950000,2026-02-13T01:42:30 [TARGET_LOAD     ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946950000,2026-02-13T01:42:30 [SOURCE_CAPTURE  ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946950000,2026-02-13T01:42:30 [SOURCE_UNLOAD   ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946951000,2026-02-13T01:42:31 [SOURCE_CAPTURE  ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946953000,2026-02-13T01:42:33 [SOURCE_CAPTURE  ]I:  Source endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:966)
1770946953000,2026-02-13T01:42:33 [SOURCE_CAPTURE  ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946953000,2026-02-13T01:42:33 [SOURCE_UNLOAD   ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946953000,2026-02-13T01:42:33 [SOURCE_CAPTURE  ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946953000,2026-02-13T01:42:33 [TARGET_LOAD     ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946953000,2026-02-13T01:42:33 [TARGET_LOAD     ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946953000,2026-02-13T01:42:33 [SOURCE_UNLOAD   ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946955000,2026-02-13T01:42:35 [SOURCE_UNLOAD   ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946955000,2026-02-13T01:42:35 [SOURCE_UNLOAD   ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946955000,2026-02-13T01:42:35 [TARGET_LOAD     ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946955000,2026-02-13T01:42:35 [TARGET_LOAD     ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946955000,2026-02-13T01:42:35 [TARGET_LOAD     ]I:  Oracle database version is 19.13.0.0.0  (oracle_endpoint_conn.c:522)
1770946955000,2026-02-13T01:42:35 [SOURCE_CAPTURE  ]I:  Replication Setting/ECA 'openTransactionWindow' is disabled    (oracle_endpoint_imp.c:1645)
1770946955000,2026-02-13T01:42:35 [SOURCE_UNLOAD   ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946956000,2026-02-13T01:42:36 [SOURCE_CAPTURE  ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946958000,2026-02-13T01:42:38 [SOURCE_CAPTURE  ]I:  Source endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:966)
1770946958000,2026-02-13T01:42:38 [SOURCE_CAPTURE  ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946958000,2026-02-13T01:42:38 [SOURCE_CAPTURE  ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946958000,2026-02-13T01:42:38 [TARGET_LOAD     ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946958000,2026-02-13T01:42:38 [TARGET_LOAD     ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946958000,2026-02-13T01:42:38 [TASK_MANAGER    ]I:  Subtask #2 ended  (replicationtask_util.c:618)
1770946958000,2026-02-13T01:42:38 [TASK_MANAGER    ]I:  Subtask #3 ended  (replicationtask_util.c:618)
1770946958000,2026-02-13T01:42:38 [TASK_MANAGER    ]I:  Subtask #4 ended  (replicationtask_util.c:618)
1770946958000,2026-02-13T01:42:38 [TASK_MANAGER    ]I:  Subtask #6 ended  (replicationtask_util.c:618)
1770946958000,2026-02-13T01:42:38 [TASK_MANAGER    ]I:  Subtask #7 ended  (replicationtask_util.c:618)
1770946958000,2026-02-13T01:42:38 [TASK_MANAGER    ]I:  Subtask #8 ended  (replicationtask_util.c:618)
1770946958000,2026-02-13T01:42:38 [TASK_MANAGER    ]I:  Subtask #9 ended  (replicationtask_util.c:618)
1770946964000,2026-02-13T01:42:44 [VALIDATOR       ]I:  Stopping Validation  (validation_manager.c:455)
1770946964000,2026-02-13T01:42:44 [VALIDATOR       ]I:  Wait for termination of the thread of 'task_validator' component  (task_validator.c:302)
1770946964000,2026-02-13T01:42:44 [VALIDATOR       ]I:  Wait for termination of 5 partition validator threads  (partition_validator.c:276)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  finished partition reporting run for thread: 5  (partition_validator.c:591)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for termination of the thread of 'validation_result_fetcher' component  (validation_result.c:231)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'validation_result_fetcher' component terminated  (validation_result.c:236)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_SOURC ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  All partition validator threads are terminated  (partition_validator.c:294)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for remove FDV partitions validator jobs  (partition_validator.c:296)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  All FDV partitions validator jobs removed  (partition_validator.c:308)
1770946965000,"2026-02-13T01:42:45 [VALIDATOR       ]I:  Stopped partition validators, exiting task validator thread  (task_validator.c:401)"
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'task_validator' component terminated  (task_validator.c:317)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Working in transactional apply mode  (endpointshell.c:2212)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  No validation cleanup target endpoint step found for target endpoint.  Continuing with cleanup as normal.  (task_validator.c:648)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Validation Stopped  (validation_manager.c:463)
1770946965000,2026-02-13T01:42:45 [TASK_MANAGER    ]I:  Task management thread terminated  (replicationtask.c:5198)
1770946967000,2026-02-13T01:42:47 [METADATA_MANAGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946967000,2026-02-13T01:42:47 [METADATA_MANAGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946967000,2026-02-13T01:42:47 [METADATA_MANAGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946967000,2026-02-13T01:42:47 [METADATA_MANAGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946967000,2026-02-13T01:42:47 [AT_GLOBAL       ]I:  Closing log file at Fri Feb 13 01:42:47 2026  (at_logger.c:3056)